191780,739303058,8.63
191780,51513287,8.63
191780,261662554,8.63
191780,552141240,8.63
217111,822012863,7.64
217111,452269210,7.64
217111,893815780,7.64
217111,899090516,7.64
231862,60005777,6.79
231862,340370238,6.79
231862,3300277,6.79
231862,747240752,6.79
244176,312265867,8.53
244176,1592281400,8.53
244176,316769495,8.53
244176,811840026,8.53
168069,786868716,9.93
168069,5005005513,7.60
168069,836213319,13.09
168069,676973655,6.45
213528,843943114,7.11
213528,515130990,2.91
213528,446609943,8.12
213528,821742531,7.11
161044,67697564,8.12
161044,446360589,8.12
161044,345444884,8.12
161044,670858692,8.12
241437,3216302873,6.27
241437,3810507229,6.27
241437,3453866797,6.27
241437,3548224938,6.27
231242,66209773,5.04
231242,67978120,8.60
231242,395866502,8.93
231242,312195516,9.03
197507,743421574,8.25
197507,60929790,6.72
197507,345301048,8.25
197507,812558138,8.25
248226,394717058,8.53
248226,376017503,8.53
248226,938983121,8.53
248226,140467513,8.53
225891,451207521,7.99
225891,765345013,8.35
225891,345295145,8.35
225891,345371011,8.35
187868,375501347,7.67
187868,446310492,7.67
187868,385720106,7.67
187868,70212570,7.67
209234,786005068,7.29
209234,451184726,7.29
209234,60938455,7.29
209234,786808012,7.29
265894,380801213,8.27
265894,312983271,6.88
265894,671011375,8.27
265894,312983700,8.27
248469,312865023,5.50
248469,425105334,5.50
248469,671318241,5.50
248469,671318195,5.50
127208,1555540139,6.12
127208,886777844,6.12
127208,886779758,6.12
127208,155553354,6.12
131131,8401474663,8.17
131131,300074298,1.99
131131,801435293,8.17
131131,9700509036,8.17
138583,786863404,8.59
138583,1883523192,8.59
138583,316702757,8.59
138583,345452534,8.59
190836,312264127,9.39
190836,771592655,7.38
190836,345314255,3.08
190836,60011572,7.38
247857,553213148,8.34
247857,448095114,8.25
247857,380780860,10.26
247857,345000000000,7.47
222040,609604074,7.08
222040,34541389,7.08
222040,743528344,7.08
222040,316666343,6.57
203022,28625099,8.68
203022,809465051,8.68
203022,679462945,8.68
203022,1571741038,8.68
179735,802860613,7.80
179735,671741209,6.85
179735,441304834,8.79
179735,932026591,7.80
275655,9963626297,6.59
275655,8495601710,6.59
275655,8432310085,6.59
275655,8484313247,6.59
134352,671795147,8.05
134352,446530921,8.05
134352,446610771,8.05
134352,671880454,8.05
179983,140378189,8.86
179983,1880000156,8.86
179983,79440281,8.86
179983,679867384,8.86
174705,671028383,6.54
174705,380716542,8.32
174705,55381365,11.46
174705,345413903,15.54
133694,671523686,9.81
133694,842332367,7.48
133694,380899841,7.48
133694,316182540,6.98
187752,451455444,7.10
187752,440351626,7.10
187752,684869233,7.10
187752,44041833,7.10
269571,307122891,6.93
269571,553211994,6.93
269571,792274512,6.93
269571,394861493,6.93
224530,1558744029,9.65
224530,2862226,9.65
224530,157189182,9.65
224530,1901970310,9.65
185727,1567186793,9.85
185727,373165943,9.85
185727,446532452,13.72
185727,446531332,9.85
245376,39331815,7.97
245376,375753303,7.97
245376,64434648,7.97
245376,19281527,7.97
190270,261102664,7.81
190270,142437255,7.81
190270,887292860,7.81
190270,1840373059,7.81
136076,399149775,8.90
136076,373227388,8.38
136076,39453512,8.90
136076,373290683,8.90
219326,1584790830,7.57
219326,446365130,7.57
219326,158234082,13.09
219326,345303067,6.65
144560,345387651,8.19
144560,812579402,8.19
144560,1564144992,8.19
144560,345417062,8.19
165871,684853507,9.33
165871,452278902,9.33
165871,962827193,9.33
165871,451163524,9.33
178672,684835983,6.61
178672,425124347,6.80
178672,1573225789,9.37
178672,515130389,8.95
223159,679744398,6.87
223159,440214157,8.56
223159,60976845,8.83
223159,375726349,6.87
244075,895947668,8.77
244075,679745203,6.99
244075,156899698,8.77
244075,449909301,8.77
269724,786916354,7.54
269724,788754882,7.54
269724,671024248,6.59
269724,55307116125,7.54
202716,312961006,7.52
202716,60294884,7.52
202716,553579754,7.52
202716,44651490,7.52
169687,345430425,6.47
169687,618083588,6.47
169687,618083561,6.47
169687,553067494,6.47
138129,330029495,7.10
138129,140707085,7.10
138129,14070714,7.10
138129,1858284422,7.10
143720,140231757,6.32
143720,151001812,6.32
143720,517887940,6.32
143720,743211235,6.32
183963,60972289,8.10
183963,394748816,8.10
183963,671818910,8.10
183963,340268832,8.10
252647,908311648,7.82
252647,297823116,7.82
252647,399231420,7.82
252647,1860491669,7.82
193463,185326007,7.58
193463,425172996,7.58
193463,2866562070,7.58
193463,1853269387,7.58
161941,99771519,7.81
161941,732323843,7.81
161941,958587035,7.81
161941,449214923,7.81
259160,226429455,7.52
259160,2742705724,7.52
259160,2207253635,7.52
259160,2877302202,7.52
209469,99845008,8.88
209469,2723427617,8.88
209469,590457225,3.70
209469,152166696,7.84
137011,3442350247,8.72
137011,344235272,3.39
137011,3593369133,8.05
137011,3257208626,8.05
253876,553801376,8.71
253876,451410319,8.71
253876,671007637,8.16
253876,3169694443,8.71
137693,425065553,8.30
137693,393308057,8.30
137693,146000552,8.30
137693,446612545,5.62
135629,393091465,9.04
135629,6512240,9.04
135629,818798144,9.04
135629,713628936,9.04
222917,2290141208,7.48
222917,2070378292,7.48
222917,2266104535,7.48
222917,2070394727,7.48
141963,380765489,7.60
141963,99338815,7.60
141963,380820498,7.60
141963,380733285,7.60
136210,39914286,7.68
136210,380789019,7.68
136210,962727415,7.68
136210,64471047,7.68
264867,553279912,6.29
264867,465007031,7.63
264867,373261942,7.63
264867,804900019,7.63
165764,156458027,6.26
165764,875968031,6.26
165764,870945866,6.26
165764,1556233620,6.26
184537,316286443,8.09
184537,345452704,8.09
184537,440404193,-0.98
184537,671739433,8.09
187522,679459618,7.29
187522,446602698,7.29
187522,786242345,7.29
187522,97291451,7.29
229746,345442636,7.55
229746,446391301,7.55
229746,64407683,7.09
229746,380868768,7.55
189085,375702709,6.89
189085,394740181,5.34
189085,1563920980,6.89
189085,671529323,6.89
241807,446608955,6.50
241807,590470507,6.50
241807,380775670,6.50
241807,553492934,6.50
266234,1563899809,8.06
266234,553250531,7.05
266234,380709589,8.06
266234,380002930,6.74
191870,61044431,8.04
191870,312268726,8.04
191870,812930029,8.04
191870,67975038,8.04
229334,330236482,8.87
229334,140016023,8.87
229334,140043276,8.87
229334,140018085,8.87
140085,3404118251,8.58
140085,3404125010,8.58
140085,99294710,8.58
140085,553840185,8.58
158259,60959037,5.92
158259,965457869,8.00
158259,553212621,9.40
158259,452261368,8.00
198017,670030031,-2.38
198017,60277556,7.49
198017,786889101,7.49
198017,684853523,6.91
270843,1853260096,9.77
